NAME,ALT_NAME,OTHER_NAMES,MCXC_RA,MCXC_DEC,MCXC_REDSHIFT,CATALOG_NAME,SUB_CATALOG_NAME,LINEAR_SCALE_FACTOR,LX_500,MASS_500,RADIUS_500,NOTES,OVERLAP_CAT_1,OVERLAP_CAT_2,OVERLAP_CAT_3,OVERLAP_CAT_4,LX_RATIO_CAT_1,LX_RATIO_CAT_2,LX_RATIO_CAT_3,LX_RATIO_CAT_4,LoVoCCSID
MCXC J1558.3-1410,"RXC J1558.3-1410  ",,239.5967,-14.1678,0.097,NORAS/REFLEX,"REFLEX      ",1.795,3.1797970000000006E44,3.8731E14,1.0745,"B                                         ",,,,,,,,,20
MCXC J1327.9-3130,"RXC J1327.9-3130  ","A3558                                                 ",201.9896,-31.5025,0.048,NORAS/REFLEX,"REFLEX      ",0.941,3.1385190000000003E44,3.9741E14,1.101,"P,GR6,losStr                              ",,,,,,,,,21
MCXC J2034.7-3548,"RXC J2034.7-3548  ","A3695                                                 ",308.6996,-35.8133,0.0894,NORAS/REFLEX,"REFLEX      ",1.669,2.9630130000000005E44,3.7297E14,1.0637,"L,losStr                                  ",,,,,,,,,22
MCXC J1712.7+6403,"RXC J1712.7+6403  ","A2255                                                 ",258.1967,64.0614,0.0809,NORAS/REFLEX,"NORAS       ",1.525,2.9490600000000005E44,3.741E14,1.0678,"L                                         ","BCS         ",,,,0.855,,,,23
MCXC J2249.9-6425,"RXC J2249.9-6425  ","A3921                                                 ",342.4875,-64.4294,0.094,NORAS/REFLEX,"REFLEX      ",1.746,2.8285450000000004E44,3.6139E14,1.051,"losStr                                    ",,,,,,,,,24
MCXC J1143.5+4623,"RXC J1143.5+4623  ","A1361                                                 ",175.8762,46.3844,0.1167,NORAS/REFLEX,"NORAS       ",2.112,2.786307E44,3.5238E14,1.0344,,"BCS         ",,,,0.757,,,,25
MCXC J2214.5-1022,"RXC J2214.5-1022  ","A2426                                                 ",333.6358,-10.3717,0.098,NORAS/REFLEX,"REFLEX      ",1.812,2.7700680000000005E44,3.5581E14,1.0442,,"SGP         ",,,,0.947,,,,26
MCXC J0342.8-5338,"RXC J0342.8-5338  ","A3158                                                 ",55.7246,-53.6353,0.059,NORAS/REFLEX,"REFLEX      ",1.141,2.7649200000000004E44,3.6513E14,1.0667,"L,losStr                                  ",,,,,,,,,27
MCXC J1217.6+0339,"RXC J1217.6+0339  ","Zw 1215.1+0400                                        ",184.4192,3.6625,0.0766,NORAS/REFLEX,"NORAS       ",1.451,2.7447960000000002E44,3.5915E14,1.0548,,"BCS         ",,,,1.099,,,,28
MCXC J0042.1-2832,"RXC J0042.1-2832  ","A2811                                                 ",10.5363,-28.5358,0.1082,NORAS/REFLEX,"REFLEX      ",1.977,2.7341460000000003E44,3.5046E14,1.0355,"losStr                                    ","SGP         ",,,,0.927,,,,29
MCXC J0918.1-1205,"RXC J0918.1-1205  ","A0780                                                 ",139.5271,-12.0933,0.0539,NORAS/REFLEX,"REFLEX      ",1.049,2.716018E44,3.6243E14,1.0658,"BX                                        ",,,,,,,,,30
MCXC J2210.3-1210,"RXC J2210.3-1210  ","A2420                                                 ",332.5821,-12.1761,0.0846,NORAS/REFLEX,"REFLEX      ",1.588,2.6724730000000004E44,3.5139E14,1.0445,,"SGP         ",,,,0.913,,,,31
MCXC J1522.4+2742,"RXC J1522.4+2742  ","A2065                                                 ",230.6104,27.7094,0.0723,NORAS/REFLEX,"NORAS       ",1.377,2.6278740000000005E44,3.5078E14,1.048,,"BCS         ",,,,0.966,,,,32
MCXC J1130.3-1434,"RXC J1130.3-1434  ","A1285                                                 ",172.5813,-14.5831,0.1068,NORAS/REFLEX,"REFLEX      ",1.954,2.605129E44,3.4062E14,1.0262,,"EMSS_1994   ",,,,0.547,,,,33
MCXC J0011.7+3225,"RXC J0011.7+3225  ","A0007                                                 ",2.935,32.4169,0.1073,NORAS/REFLEX,"NORAS       ",1.962,2.571958E44,3.3785E14,1.0232,,"BCS         ",,,,1.042,,,,34
MCXC J2246.3-5243,"RXC J2246.3-5243  ","A3911                                                 ",341.5775,-52.7294,0.0965,NORAS/REFLEX,"REFLEX      ",1.787,2.5651930000000002E44,3.3988E14,1.0289,"L                                         ",,,,,,,,,35
MCXC J0736.4+3925,"RXC J0736.4+3925  ",,114.1058,39.4333,0.1177,NORAS/REFLEX,"NORAS       ",2.127,2.518069E44,3.3105E14,1.0128,"C                                         ",,,,,,,,,36
MCXC J2331.2-3630,"RXC J2331.2-3630  ","A4010                                                 ",352.8029,-36.5067,0.0957,NORAS/REFLEX,"REFLEX      ",1.774,2.4193560000000004E44,3.2815E14,1.0172,,"SGP         ",,,,0.911,,,,37
MCXC J1539.8+3043,"RXC J1539.8+3043  ","A2110                                                 ",234.9529,30.7172,0.098,NORAS/REFLEX,"NORAS       ",1.812,2.257681E44,3.1409E14,1.0017,,"BCS         ",,,,0.93,,,,38
MCXC J1518.7+0613,"RXC J1518.7+0613  ","A2055                                                 ",229.69,6.2311,0.1021,NORAS/REFLEX,"NORAS       ",1.878,2.2413430000000002E44,3.118E14,0.9979,"C                                         ","BCS         ",,,,1.281,,,,39
MCXC J1539.5-8335,"RXC J1539.5-8335  ",,234.8913,-83.5922,0.0728,NORAS/REFLEX,"REFLEX      ",1.386,2.2350820000000006E44,3.177E14,1.0138,,,,,,,,,,40
MCXC J1330.8-0152,"RXC J1330.8-0152  ","A1750                                                 ",202.7079,-1.8728,0.0852,NORAS/REFLEX,"REFLEX      ",1.598,2.1277670000000003E44,3.0567E14,0.9968,"DL,large elongation towards NE,losStr     ",,,,,,,,,41
MCXC J2154.1-5751,"RXC J2154.1-5751  ","A3822                                                 ",328.5383,-57.8553,0.076,NORAS/REFLEX,"REFLEX      ",1.441,2.097956E44,3.0499E14,0.9991,"losStr                                    ",,,,,,,,,42
MCXC J1132.8+1428,"RXC J1132.8+1428  ","A1307                                                 ",173.2208,14.4689,0.0834,NORAS/REFLEX,"NORAS       ",1.568,2.074613E44,3.0137E14,0.9927,,,,,,,,,,43
MCXC J2149.1-3041,"RXC J2149.1-3041  ","A3814                                                 ",327.2808,-30.6986,0.1184,NORAS/REFLEX,"REFLEX      ",2.138,2.0534810000000003E44,2.9219E14,0.9713,,,,,,,,,,44
MCXC J0145.0-5300,"RXC J0145.0-5300  ","A2941                                                 ",26.2596,-53.0139,0.1168,NORAS/REFLEX,"REFLEX      ",2.113,2.0107590000000005E44,2.888E14,0.968,,,,,,,,,,45
MCXC J2223.8-0138,"RXC J2223.8-0138  ","A2440                                                 ",335.9704,-1.6378,0.0906,NORAS/REFLEX,"REFLEX      ",1.689,1.9031000000000003E44,2.8449E14,0.9716,,"SGP         ",,,,0.927,,,,46
MCXC J1628.6+3932,"RXC J1628.6+3932  ","A2199                                                 ",247.1583,39.5486,0.0299,NORAS/REFLEX,"NORAS       ",0.599,1.9006910000000002E44,2.9626E14,1.004,"L                                         ","BCS         ",,,,1.152,,,,47
MCXC J1257.1-1724,"RXC J1257.1-1724  ","A1644                                                 ",194.2904,-17.4003,0.0473,NORAS/REFLEX,"REFLEX      ",0.928,1.897483E44,2.9254E14,0.9944,"L                                         ",,,,,,,,,48
MCXC J1141.4-1216,"RXC J1141.4-1216  ","A1348                                                 ",175.3512,-12.2722,0.1195,NORAS/REFLEX,"REFLEX      ",2.155,1.893646E44,2.7789E14,0.9548,"X,losStr                                  ",,,,,,,,,49
MCXC J1521.2+3038,"A2061             ","A2061                                                 ",230.3208,30.64,0.0777,"BCS         ","BCS         ",1.47,1.884743E44,2.8536E14,0.9766,,,,,,,,,,50
MCXC J2218.0-6511,"RXC J2218.0-6511  ","RBS 1847                                              ",334.5229,-65.185,0.0951,NORAS/REFLEX,"REFLEX      ",1.764,1.858113E44,2.7949000000000003E14,0.9644,,,,,,,,,,51
MCXC J0433.6-1315,"RXC J0433.6-1315  ","A0496                                                 ",68.41,-13.2592,0.0326,NORAS/REFLEX,"REFLEX      ",0.651,1.85299E44,2.9118E14,0.9974,,,,,,,,,,52
MCXC J2344.2-0422,"RXC J2344.2-0422  ",,356.0667,-4.3675,0.0786,NORAS/REFLEX,"REFLEX      ",1.486,1.852614E44,2.8221E14,0.9727,,"SGP         ",,,,0.915,,,,53
MCXC J0043.8+2424,"ZwCl235           ","ZwCl235                                               ",10.9671,24.4019,0.083,"BCS         ","BCS         ",1.561,1.83959E44,2.8014E14,0.969,,,,,,,,,,54
MCXC J1215.4-3900,"RXC J1215.4-3900  ",,183.8708,-39.0153,0.119,NORAS/REFLEX,"REFLEX      ",2.148,1.8346510000000002E44,2.7267E14,0.9489,,,,,,,,,,55
MCXC J2313.9-4244,"RXC J2313.9-4244  ","S1101                                                 ",348.4942,-42.7339,0.0564,NORAS/REFLEX,"REFLEX      ",1.094,1.811143E44,2.8261E14,0.9802,,"SGP         ","EMSS_1994   ",,,0.875,3.006,,,56
MCXC J0006.0-3443,"RXC J0006.0-3443  ","A2721                                                 ",1.5125,-34.7242,0.1147,NORAS/REFLEX,"REFLEX      ",2.08,1.809494E44,2.7122000000000003E14,0.9486,,"SGP         ",,,,0.949,,,,57
MCXC J2134.2-1328,"RXC J2134.2-1328  ","A2351                                                 ",323.5688,-13.48,0.0897,NORAS/REFLEX,"REFLEX      ",1.674,1.793951E44,2.746E14,0.9604,"B                                         ",,,,,,,,,58
MCXC J1709.8+3426,"RXC J1709.8+3426  ","A2249                                                 ",257.4533,34.4406,0.0802,NORAS/REFLEX,"NORAS       ",1.513,1.783924E44,2.7548E14,0.9644,,"BCS         ",,,,1.062,,,,59
MCXC J2218.2-0350,"RXC J2218.2-0350  ","MS2215                                                ",334.5713,-3.8342,0.0901,NORAS/REFLEX,"REFLEX      ",1.681,1.7250340000000001E44,2.6804E14,0.9526,"D,two maxima/NEE-SWW                      ","EMSS_1994   ","SGP         ",,,0.351,0.964,,,60
MCXC J2226.0+1722,"A2443             ","A2443                                                 ",336.5108,17.3781,0.1072,"BCS         ","BCS         ",1.961,1.7063660000000002E44,2.6307999999999997E14,0.9414,,,,,,,,,,61
MCXC J1520.9+4840,"RXC J1520.9+4840  ","A2064                                                 ",230.2271,48.6694,0.1076,NORAS/REFLEX,"NORAS       ",1.967,1.6961730000000001E44,2.6204999999999997E14,0.94,,"BCS         ",,,,1.179,,,,62
MCXC J1516.3+0005,"RXC J1516.3+0005  ","A2050                                                 ",229.08,0.0978,0.1181,NORAS/REFLEX,"REFLEX      ",2.134,1.689631E44,2.5949E14,0.9337,,"BCS         ",,,,1.273,,,,63
MCXC J2143.9-5637,"RXC J2143.9-5637  ","APMCC 699                                             ",325.9929,-56.6264,0.0824,NORAS/REFLEX,"REFLEX      ",1.551,1.6785670000000002E44,2.6504E14,0.9514,,,,,,,,,,64
MCXC J1326.9-2710,"RXC J1326.9-2710  ","A1736                                                 ",201.725,-27.1833,0.0458,NORAS/REFLEX,"REFLEX      ",0.9,1.6674820000000003E44,2.7065E14,0.9694,"L                                         ",,,,,,,,,65
MCXC J2152.4-1933,"RXC J2152.4-1933  ","A2384 (A)                                             ",328.1,-19.565,0.0943,NORAS/REFLEX,"REFLEX      ",1.751,1.6631380000000002E44,2.6137E14,0.9433,"PB,GR10                                   ",,,,,,,,,66
MCXC J2357.0-3445,"RXC J2357.0-3445  ","A4059                                                 ",359.2596,-34.7606,0.0475,NORAS/REFLEX,"REFLEX      ",0.931,1.6296220000000001E44,2.6658E14,0.964,"L                                         ","EMSS_1994   ","SGP         ",,,0.132,0.952,,,67
MCXC J1620.5+2953,"RXC J1620.5+2953  ","A2175                                                 ",245.1321,29.8953,0.0972,NORAS/REFLEX,"NORAS       ",1.798,1.6267290000000003E44,2.5734E14,0.9376,,"BCS         ",,,,0.943,,,,68
MCXC J2321.5-4153,"RXC J2321.5-4153  ","A3998                                                 ",350.3892,-41.8989,0.0894,NORAS/REFLEX,"REFLEX      ",1.669,1.625536E44,2.5863E14,0.9415,"losStr                                    ","SGP         ","EMSS_1994   ",,,0.945,1.142,,,69
MCXC J0005.3+1612,"RXC J0005.3+1612  ","A2703                                                 ",1.3442,16.2106,0.1164,NORAS/REFLEX,"NORAS       ",2.107,1.5790070000000002E44,2.4929E14,0.9218,"B                                         ","EMSS_1994   ",,,,0.533,,,,70
MCXC J0704.4+6318,"RXC J0704.4+6318  ","A0566                                                 ",106.1021,63.3161,0.098,NORAS/REFLEX,"NORAS       ",1.812,1.576739E44,2.5235E14,0.9312,,"BCS         ",,,,1.39,,,,71
MCXC J1144.6+6724,"RXC J1144.6+6724  ","A1366                                                 ",176.1675,67.41,0.1159,NORAS/REFLEX,"NORAS       ",2.099,1.5592240000000002E44,2.4747E14,0.9197,,"BCS         ",,,,1.338,,,,72
MCXC J2250.3+1054,"RXC J2250.3+1054  ","A2495                                                 ",342.5875,10.9025,0.0768,NORAS/REFLEX,"NORAS       ",1.455,1.5586380000000001E44,2.5431E14,0.9401,,"BCS         ",,,,0.997,,,,73
MCXC J2209.3-5148,"RXC J2209.3-5148  ","A3836                                                 ",332.3471,-51.815,0.1065,NORAS/REFLEX,"REFLEX      ",1.95,1.5527000000000002E44,2.485E14,0.9239,,,,,,,,,,74
MCXC J2307.2-1513,"RXC J2307.2-1513  ","A2533                                                 ",346.8138,-15.2283,0.111,NORAS/REFLEX,"REFLEX      ",2.022,1.552593E44,2.4769E14,0.9215,,"SGP         ",,,,0.869,,,,75
MCXC J2313.0-2137,"RXC J2313.0-2137  ","A2556                                                 ",348.2538,-21.6319,0.0871,NORAS/REFLEX,"REFLEX      ",1.63,1.5091520000000003E44,2.4758E14,0.9286,,"SGP         ",,,,0.854,,,,76
MCXC J1133.2+6622,"RXC J1133.2+6622  ","A1302                                                 ",173.3196,66.3786,0.116,NORAS/REFLEX,"NORAS       ",2.101,1.4893570000000002E44,2.4063E14,0.9111,,"BCS         ",,,,1.145,,,,77
MCXC J1341.8+2622,"RXC J1341.8+2622  ","A1775                                                 ",205.4742,26.3719,0.0724,NORAS/REFLEX,"NORAS       ",1.379,1.48629E44,2.4779E14,0.9333,,"400SD_SER   ","160SD       ","BCS         ",,0.987,1.002,1.054,,78
MCXC J1521.8+0742,"RXC J1521.8+0742  ","MKW 3s                                                ",230.4583,7.7089,0.0442,NORAS/REFLEX,"NORAS       ",0.87,1.482131E44,2.5215E14,0.9473,,"BCS         ",,,,1.238,,,,79
MCXC J0328.6-5542,"RXC J0328.6-5542  ","A3126                                                 ",52.1562,-55.7128,0.0853,NORAS/REFLEX,"REFLEX      ",1.6,1.467361E44,2.4368E14,0.9243,,,,,,,,,,80
MCXC J0345.9-2416,"RXC J0345.9-2416  ","A0458                                                 ",56.4833,-24.2803,0.1057,NORAS/REFLEX,"REFLEX      ",1.937,1.462214E44,2.3970000000000003E14,0.9131,,,,,,,,,,81
MCXC J0102.7-2152,"RXC J0102.7-2152  ","A0133                                                 ",15.6754,-21.8736,0.0569,NORAS/REFLEX,"REFLEX      ",1.103,1.460216E44,2.4773999999999997E14,0.9379,,"SGP         ",,,,0.892,,,,82
MCXC J1516.7+0701,"RXC J1516.7+0701  ","A2052                                                 ",229.1833,7.0186,0.0353,NORAS/REFLEX,"NORAS       ",0.702,1.4420580000000002E44,2.4945E14,0.9465,,"BCS         ",,,,1.193,,,,83
MCXC J2216.2-0920,"RXC J2216.2-0920  ","A2428                                                 ",334.0646,-9.34,0.0825,NORAS/REFLEX,"REFLEX      ",1.553,1.4387180000000001E44,2.4124E14,0.922,,"SGP         ",,,,0.902,,,,84
MCXC J0049.4-2931,"RXC J0049.4-2931  ","S0084                                                 ",12.35,-29.5244,0.1084,NORAS/REFLEX,"REFLEX      ",1.98,1.4380470000000001E44,2.3682E14,0.9086,,"SGP         ",,,,0.95,,,,85
MCXC J0056.3-0112,"RXC J0056.3-0112  ","A0119                                                 ",14.0762,-1.2167,0.0442,NORAS/REFLEX,"REFLEX      ",0.87,1.437223E44,2.4747E14,0.9413,"L,losStr                                  ","SGP         ",,,,0.96,,,,86
MCXC J0020.6+2840,"RXC J0020.6+2840  ","A0021                                                 ",5.1704,28.675,0.094,NORAS/REFLEX,"NORAS       ",1.746,1.434697E44,2.3890000000000003E14,0.9156,,"BCS         ",,,,1.201,,,,87
MCXC J0819.6+6336,"RX J0819.6+6336   ","RX J0819.6+6336                                       ",124.9129,63.61,0.119,"BCS         ","BCS         ",2.148,1.4343900000000003E44,2.3468E14,0.9026,,,,,,,,,,88
MCXC J2312.3-2130,"RXC J2312.3-2130  ","A2554                                                 ",348.0863,-21.5006,0.1108,NORAS/REFLEX,"REFLEX      ",2.018,1.4314430000000002E44,2.3576E14,0.9065,"losStr                                    ","SGP         ",,,,0.806,,,,89
MCXC J1511.3+0619,"A2033             ","A2033                                                 ",227.8479,6.3189,0.0817,"BCS         ","BCS         ",1.539,1.406968E44,2.3811E14,0.9183,,,,,,,,,,90
MCXC J2319.1-4206,"MS2316.3-4222     ","S1111                                                 ",349.775,-42.1139,0.045,"EMSS        ","EMSS_1994   ",0.885,1.405897E44,2.4403E14,0.9367,,,,,,,,,,91
MCXC J0028.6-2338,"RXC J0028.6-2338  ","A0042                                                 ",7.1638,-23.6372,0.112,NORAS/REFLEX,"REFLEX      ",2.037,1.4045490000000002E44,2.3285E14,0.9024,,"SGP         ",,,,0.965,,,,92
MCXC J0627.2-5428,"RXC J0627.2-5428  ","A3395                                                 ",96.81,-54.47,0.0506,NORAS/REFLEX,"REFLEX      ",0.989,1.3754770000000003E44,2.3988999999999997E14,0.9298,"PL,GR3                                    ",,,,,,,,,93
MCXC J1244.6-1159,"RXC J1244.6-1159  ","A1606                                                 ",191.1583,-11.9853,0.0963,NORAS/REFLEX,"REFLEX      ",1.784,1.3754330000000003E44,2.3246000000000003E14,0.9066,,,,,,,,,,94
MCXC J1336.1+5912,"RXC J1336.1+5912  ","A1767                                                 ",204.0254,59.2078,0.0701,NORAS/REFLEX,"NORAS       ",1.338,1.370998E44,2.3626E14,0.9193,,"BCS         ",,,,0.944,,,,95
MCXC J1442.3+2218,"RXC J1442.3+2218  ","UGC 09480                                             ",220.5767,22.3047,0.0901,NORAS/REFLEX,"NORAS       ",1.681,1.364553E44,2.3234E14,0.9083,,"BCS         ",,,,0.982,,,,96
MCXC J1602.3+1601,"A2147             ","A2147                                                 ",240.5779,16.02,0.0353,"BCS         ","BCS         ",0.702,1.3583800000000001E44,2.4051999999999997E14,0.9351,,,,,,,,,,97
MCXC J2354.2-1024,"RXC J2354.2-1024  ","A2670                                                 ",358.5558,-10.4128,0.0765,NORAS/REFLEX,"REFLEX      ",1.45,1.336537E44,2.3159999999999997E14,0.9113,"B,losStr                                  ","SGP         ",,,,0.914,,,,98
MCXC J1257.2-3022,"RXC J1257.2-3022  ","A3532                                                 ",194.3204,-30.3769,0.0554,NORAS/REFLEX,"REFLEX      ",1.076,1.3232770000000002E44,2.3354E14,0.9201,"B,GR5                                     ",,,,,,,,,99
MCXC J0912.4+1556,"A763              ","A0763                                                 ",138.1242,15.9431,0.0851,"BCS         ","BCS         ",1.597,1.3124760000000002E44,2.2769E14,0.9037,,,,,,,,,,100
MCXC J1516.5-0056,"RXC J1516.5-0056  ","A2051                                                 ",229.1417,-0.9489,0.1198,NORAS/REFLEX,"REFLEX      ",2.16,1.2965430000000001E44,2.2052999999999997E14,0.8839,,,,,,,,,,101
MCXC J1349.3+2806,"RXC J1349.3+2806  ","A1800                                                 ",207.34,28.1036,0.0748,NORAS/REFLEX,"NORAS       ",1.42,1.273561E44,2.2515E14,0.9033,,"BCS         ",,,,1.171,,,,102
MCXC J0034.6-0208,"RXC J0034.6-0208  ",,8.65,-2.14,0.0812,NORAS/REFLEX,"REFLEX      ",1.53,1.253723E44,2.2202000000000003E14,0.8972,"DL,two maxima/E-W                         ",,,,,,,,,103
MCXC J1601.3+5354,"RXC J1601.3+5354  ","A2149                                                 ",240.3475,53.9061,0.1068,NORAS/REFLEX,"NORAS       ",1.954,1.2383440000000001E44,2.1643E14,0.8822,,"eBCS        ",,,,0.932,,,,104
MCXC J0013.6-1930,"RXC J0013.6-1930  ","A0013                                                 ",3.4096,-19.5022,0.094,NORAS/REFLEX,"REFLEX      ",1.746,1.2363320000000001E44,2.1818E14,0.8883,"losStr                                    ","SGP         ",,,,0.955,,,,105
MCXC J0034.2-0204,"RXC J0034.2-0204  ","SH518                                                 ",8.5579,-2.0753,0.0822,"SGP         ","SGP         ",1.547,1.2300230000000001E44,2.193E14,0.8933,,,,,,,,,,106
MCXC J2359.9-3928,"RXC J2359.9-3928  ","A4068                                                 ",359.9821,-39.4797,0.1024,NORAS/REFLEX,"REFLEX      ",1.883,1.2260900000000003E44,2.1579E14,0.8826,,"SGP         ",,,,0.951,,,,107
MCXC J1139.4-3327,"RXC J1139.4-3327  ",,174.8638,-33.4539,0.1076,NORAS/REFLEX,"REFLEX      ",1.967,1.21861E44,2.142E14,0.8789,,,,,,,,,,108
MCXC J2316.1-2027,"RXC J2316.1-2027  ","A2566                                                 ",349.0312,-20.4553,0.0822,NORAS/REFLEX,"REFLEX      ",1.547,1.2118310000000001E44,2.1730999999999997E14,0.8906,,"SGP         ",,,,0.9,,,,109
MCXC J0351.1-8212,"RXC J0351.1-8212  ","S0405                                                 ",57.7871,-82.2167,0.0613,NORAS/REFLEX,"REFLEX      ",1.183,1.2008990000000001E44,2.1924E14,0.8992,"L                                         ",,,,,,,,,110
MCXC J1006.6+2554,"RXC J1006.6+2554  ","A0923                                                 ",151.6646,25.91,0.1162,NORAS/REFLEX,"NORAS       ",2.104,1.1971130000000002E44,2.106E14,0.8715,,"eBCS        ",,,,1.037,,,,111
MCXC J1431.1+2538,"RXC J1431.1+2538  ","A1927                                                 ",217.7796,25.6389,0.0908,NORAS/REFLEX,"NORAS       ",1.692,1.1915190000000001E44,2.138E14,0.8833,,"BCS         ",,,,0.969,,,,112
MCXC J0726.0+4122,"RXC J0726.0+4122  ","A0580                                                 ",111.5021,41.3822,0.112,NORAS/REFLEX,"NORAS       ",2.037,1.1714769999999999E44,2.0846E14,0.8697,,"eBCS        ",,,,0.781,,,,113
MCXC J0212.8-4707,"RXC J0212.8-4707  ","A2988                                                 ",33.2246,-47.1328,0.115,"SGP         ","SGP         ",2.085,1.162194E44,2.0701E14,0.8668,,,,,,,,,,114
MCXC J0107.8-3643,"RXC J0107.8-3643  ","A2871                                                 ",16.9546,-36.7272,0.1186,NORAS/REFLEX,"REFLEX      ",2.141,1.1567780000000002E44,2.0589E14,0.8642,,"SGP         ",,,,0.972,,,,115
MCXC J1332.9-2519,"RXC J1332.9-2519  ",,203.2325,-25.3239,0.1199,NORAS/REFLEX,"REFLEX      ",2.162,1.1398330000000002E44,2.0385E14,0.861,"X                                         ",,,,,,,,,116
