name,MCXC,LoVoCCSID,LoVoCCS_name,ra,dec,redshift,L500,M500,R500,alt_name,other_names,Notes,sub_samp,old_LoVoCCSID,ID,Name,RA,DEC,Redshift,Newly processed,Fully observed,Comments,NUSTAR_R500_FRAC
MCXCJ2205.6-0535,J2205.6-0535,120,LoVoCCS-120,331.41875,-5.593333333,0.0582,1.108636,2.0925,0.8862,RXCJ2205.6-0535,A2415,B,south,117.0,89,A2415,331.42,-5.59,0.0582,,partially,,0.0
MCXCJ0330.0-5235,J0330.0-5235,121,LoVoCCS-121,52.50291667,-52.59611111,0.0624,1.101682,2.0786,0.8831,RXCJ0330.0-5235,A3128,"DL,two maxima/NE-SW",south,118.0,90,A3128,52.5,-52.6,0.0624,1.0,yes,"Merging cluster with multiple central galaxies. A3125 small clump SW. No clear connection with A3128? Central APMCC421. https://arxiv.org/pdf/0807.4579.pdf XMM mupltiple peaks. https://openaccess.wgtn.ac.nz/articles/thesis/Characterising_Radio_Emissions_in_Cosmic_Filaments/17006248"" https://ui.adsabs.harvard.edu/abs/2005AJ....130..957F/abstract ",0.0
MCXCJ1027.9-0647,J1027.9-0647,122,LoVoCCS-122,156.9983333,-6.796111111,0.1176,1.095941,1.9936,0.8553,RXCJ1027.9-0647,A1023,X *,south,119.0,91,A1023,157.0,-6.8,0.1176,1.0,yes,,0.0
MCXCJ1254.6-2913,J1254.6-2913,123,LoVoCCS-123,193.6725,-29.22333333,0.0544,1.093054,2.0799,0.8855,RXCJ1254.6-2913,A3528,"PB,GR4",south,120.0,92,A3528,193.67,-29.22,0.0544,,yes,"With A3532, A3530 nearby. eRosita data.",0.0
MCXCJ1113.3+0231,J1113.3+0231,124,LoVoCCS-124,168.33625,2.532222222,0.078,1.090082,2.0432,0.8736,RXCJ1113.3+0231,A1205,,south,121.0,93,A1205,168.34,2.53,0.078,1.0,yes,Lensing mainly comes from the nearby background cluster?,0.0
MCXCJ0011.3-2851,J0011.3-2851,126,LoVoCCS-126,2.83625,-28.855,0.062,1.086002,2.0611,0.8807,RXCJ0011.3-2851,A2734,losStr,south,123.0,94,A2734,2.84,-28.86,0.062,,partially,,0.0
MCXCJ2145.9-1006,J2145.9-1006,127,LoVoCCS-127,326.4783333,-10.10444444,0.0808,1.085118,2.0336,0.8715,RXCJ2145.9-1006,A2377,"P,GR9",south,124.0,95,A2377,326.48,-10.1,0.0808,,partially,,0.0
MCXCJ0425.8-0833,J0425.8-0833,128,LoVoCCS-128,66.46416667,-8.559166667,0.0397,1.080714,2.0861,0.8905,RXCJ0425.8-0833,RBS0540,X,south,125.0,96,RBS0540,66.46,-8.56,0.0397,1.0,yes,,0.0
MCXCJ0910.6-1034,J0910.6-1034,131,LoVoCCS-131,137.65125,-10.58111111,0.0916,1.063423,1.9936,0.8627,RXCJ0910.6-1034,A761,,south,128.0,97,A761,137.65,-10.58,0.0916,,yes,,0.0
MCXCJ2158.4-6023,J2158.4-6023,134,LoVoCCS-134,329.6133333,-60.39944444,0.075,1.050267,2.0015,0.8685,RXCJ2158.4-6023,A3825,losStr,south,131.0,99,A3825,329.61,-60.4,0.075,1.0,yes,Very weak lensing signal. With A3827,0.0
MCXCJ1353.0+0509,J1353.0+0509,135,LoVoCCS-135,208.2541667,5.155,0.0788,1.044658,1.9898,0.8657,RXCJ1353.0+0509,A1809,,south,132.0,100,A1809,208.25,5.16,0.0788,,partially,,0.0
MCXCJ2347.7-2808,J2347.7-2808,137,LoVoCCS-137,356.93,-28.14138889,0.03,1.029501,2.0383,0.8863,RXCJ2347.7-2808,A4038,L,south,134.0,101,A4038,356.93,-28.14,0.03,,partially,,0.0
MCXCJ0314.3-4525,J0314.3-4525,138,LoVoCCS-138,48.5825,-45.42416667,0.0718,1.027456,1.9792,0.8662,RXCJ0314.3-4525,A3104,,south,135.0,102,A3104,48.58,-45.42,0.0718,,partially,,0.0
MCXCJ0448.2-2028,J0448.2-2028,142,LoVoCCS-142,72.05083333,-20.46972222,0.072,1.004022,1.9513,0.862,RXCJ0448.2-2028,A514,losStr,south,139.0,104,A514,72.05,-20.47,0.072,,partially,,0.0
MCXCJ2323.8+1648,J2323.8+1648,143,LoVoCCS-143,350.9729167,16.80888889,0.0416,1.002026,1.9896,0.876,A2589,A2589,,north,140.0,105,A2589,350.97,16.81,0.0416,,no,,0.0
MCXCJ1558.3-1410,J1558.3-1410,20,LoVoCCS-20,239.5966667,-14.16777778,0.097,3.179797,3.8731,1.0745,RXCJ1558.3-1410,,B,south,19.0,15,RXCJ1558.3-1410,239.6,-14.17,0.097,,yes,,0.0
MCXCJ1217.6+0339,J1217.6+0339,28,LoVoCCS-28,184.4191667,3.6625,0.0766,2.744796,3.5915,1.0548,RXCJ1217.6+0339,ZwCl1215,,south,27.0,21,RXCJ1217.6+0339,184.42,3.66,0.0766,1.0,yes,,0.0
MCXCJ1539.5-8335,J1539.5-8335,40,LoVoCCS-40,234.89125,-83.59222222,0.0728,2.235082,3.177,1.0138,RXCJ1539.5-8335,,,south,39.0,29,RXCJ1539.5-8335,234.89,-83.59,0.0728,1.0,yes,,0.0
MCXCJ2344.2-0422,J2344.2-0422,53,LoVoCCS-53,356.0666667,-4.3675,0.0786,1.852614,2.8221,0.9727,RXCJ2344.2-0422,,,south,52.0,40,RXCJ2344.2-0422,356.07,-4.37,0.0786,,yes,,0.0
MCXCJ1215.4-3900,J1215.4-3900,55,LoVoCCS-55,183.8708333,-39.01527778,0.119,1.834651,2.7267,0.9489,RXCJ1215.4-3900,,,south,54.0,41,RXCJ1215.4-3900,183.87,-39.02,0.119,1.0,yes,,0.0
MCXCJ2313.9-4244,J2313.9-4244,56,LoVoCCS-56,348.4941667,-42.73388889,0.0564,1.811143,2.8261,0.9802,RXCJ2313.9-4244,S1101,,south,55.0,42,RXCJ2313.9-4244,348.49,-42.73,0.0564,1.0,yes,No clear lensing signal. Could be affected by nearby clusters. Close to ACOS1111.,0.31462989380250433
MCXCJ2218.2-0350,J2218.2-0350,60,LoVoCCS-60,334.57125,-3.834166667,0.0901,1.725034,2.6804,0.9526,RXCJ2218.2-0350,MS2215,"D,two maxima/NEE-SWW",south,59.0,45,RXCJ2218.2-0350,334.57,-3.83,0.0901,1.0,yes,Unrelaxed,0.0
MCXCJ0049.4-2931,J0049.4-2931,85,LoVoCCS-85,12.35,-29.52444444,0.1084,1.438047,2.3682,0.9086,RXCJ0049.4-2931,S84,,south,84.0,64,RXCJ0049.4-2931,12.35,-29.52,0.1084,,partially,,0.0
MCXCJ0034.6-0208,J0034.6-0208,103,LoVoCCS-103,8.65,-2.14,0.0812,1.253723,2.2202,0.8972,RXCJ0034.6-0208,,"DL,two maxima/E-W",south,101.0,77,RXCJ0034.6-0208,8.65,-2.14,0.0812,,partially,,0.0
MCXCJ0034.2-0204,J0034.2-0204,106,LoVoCCS-106,8.557916667,-2.075277778,0.0822,1.230023,2.193,0.8933,RXCJ0034.2-0204,SH518,,south,104.0,79,RXCJ0034.2-0204,8.56,-2.08,0.0822,,partially,,0.0
MCXCJ1139.4-3327,J1139.4-3327,108,LoVoCCS-108,174.86375,-33.45388889,0.1076,1.21861,2.142,0.8789,RXCJ1139.4-3327,,,south,106.0,81,RXCJ1139.4-3327,174.86,-33.45,0.1076,1.0,yes,,0.0
MCXCJ0351.1-8212,J0351.1-8212,110,LoVoCCS-110,57.7871,-82.2167,0.0613,1.200899,2.1924,0.8992,RXCJ0351.1-8212,S0405,L,south,900.0,83,RXCJ0351.1-8212,57.79,-82.22,0.0613,1.0,yes,Strange offset between BCG and mass peak. Two well-separated clumps in the mass map. Should check with RS galaxy KDE and Xray/SZ. Max mass S/N at Rs 7000 pix & the NE peak. Should have SZ records (eg https://arxiv.org/pdf/1702.06961.pdf). ACOS405. Fermi-LAT observations (https://arxiv.org/abs/1705.05376v3).,0.0
MCXCJ1332.9-2519,J1332.9-2519,116,LoVoCCS-116,203.2325,-25.32388889,0.1199,1.139833,2.0385,0.861,RXCJ1332.9-2519,,X,south,113.0,86,RXCJ1332.9-2519,203.23,-25.32,0.1199,1.0,yes,Not very clear lensing peak,0.0
MCXCJ0821.0+0751,J0821.0+0751,119,LoVoCCS-119,125.2575,7.866111111,0.11,1.110969,2.0211,0.8614,RXCJ0821.0+0751,RXJ0820.9+0751,,south,116.0,88,RXCJ0821.0+0751,125.26,7.87,0.11,1.0,yes,,0.0
MCXCJ2125.2-0657,J2125.2-0657,140,LoVoCCS-140,321.3016667,-6.965555556,0.1153,1.018847,1.91,0.8438,RXCJ2125.2-0657,,,south,137.0,103,RXCJ2125.2-0657,321.3,-6.97,0.1153,,partially,,0.0
MCXCJ1416.8-1158,J1416.8-1158,144,LoVoCCS-144,214.2145833,-11.97611111,0.0982,1.001648,1.9133,0.8491,RXCJ1416.8-1158,,X,south,141.0,106,RXCJ1416.8-1158,214.21,-11.98,0.0982,,no,,0.0
MCXCJ1459.0-0843,J1459.0-0843,145,LoVoCCS-145,224.7645833,-8.725,0.1043,1.001337,1.9047,0.8461,RXCJ1459.0-0843,,,south,142.0,107,RXCJ1459.0-0843,224.76,-8.73,0.1043,,partially,,0.0
